,Compound,Date,Negative,Neutral,Positive,Sources,Tweets Ago
0,0.0,Tue Jun 05 00:51:58 +0000 2018,0.0,1.0,0.0,@BBCNews,1
1,-0.5719,Tue Jun 05 00:40:17 +0000 2018,0.27,0.73,0.0,@BBCNews,2
2,0.0,Tue Jun 05 00:33:23 +0000 2018,0.0,1.0,0.0,@BBCNews,3
3,0.0,Tue Jun 05 00:33:23 +0000 2018,0.0,1.0,0.0,@BBCNews,4
4,0.0,Tue Jun 05 00:14:11 +0000 2018,0.0,1.0,0.0,@BBCNews,5
5,0.0,Mon Jun 04 23:02:29 +0000 2018,0.0,1.0,0.0,@BBCNews,6
6,-0.4019,Mon Jun 04 22:57:35 +0000 2018,0.184,0.816,0.0,@BBCNews,7
7,0.2263,Mon Jun 04 22:46:09 +0000 2018,0.0,0.853,0.147,@BBCNews,8
8,0.0,Mon Jun 04 22:34:43 +0000 2018,0.188,0.625,0.188,@BBCNews,9
9,0.3182,Mon Jun 04 22:08:24 +0000 2018,0.0,0.777,0.223,@BBCNews,10
10,-0.296,Mon Jun 04 21:35:41 +0000 2018,0.145,0.855,0.0,@BBCNews,11
11,0.0,Mon Jun 04 21:35:41 +0000 2018,0.0,1.0,0.0,@BBCNews,12
12,0.0,Mon Jun 04 21:31:14 +0000 2018,0.0,1.0,0.0,@BBCNews,13
13,0.0,Mon Jun 04 21:20:56 +0000 2018,0.0,1.0,0.0,@BBCNews,14
14,-0.4939,Mon Jun 04 21:20:41 +0000 2018,0.327,0.51,0.163,@BBCNews,15
15,0.0,Mon Jun 04 21:20:24 +0000 2018,0.0,1.0,0.0,@BBCNews,16
16,0.296,Mon Jun 04 21:20:11 +0000 2018,0.0,0.872,0.128,@BBCNews,17
17,0.0,Mon Jun 04 21:19:47 +0000 2018,0.0,1.0,0.0,@BBCNews,18
18,-0.5267,Mon Jun 04 21:19:27 +0000 2018,0.195,0.805,0.0,@BBCNews,19
19,0.0,Mon Jun 04 21:19:23 +0000 2018,0.0,1.0,0.0,@BBCNews,20
20,-0.6597,Mon Jun 04 21:18:58 +0000 2018,0.328,0.672,0.0,@BBCNews,21
21,0.0,Mon Jun 04 20:31:34 +0000 2018,0.0,1.0,0.0,@BBCNews,22
22,0.5719,Mon Jun 04 20:19:43 +0000 2018,0.0,0.821,0.179,@BBCNews,23
23,0.0,Mon Jun 04 20:17:10 +0000 2018,0.0,1.0,0.0,@BBCNews,24
24,0.0,Mon Jun 04 19:43:54 +0000 2018,0.0,1.0,0.0,@BBCNews,25
25,-0.6597,Mon Jun 04 19:36:26 +0000 2018,0.375,0.625,0.0,@BBCNews,26
26,0.5267,Mon Jun 04 19:16:17 +0000 2018,0.0,0.746,0.254,@BBCNews,27
27,0.0,Mon Jun 04 19:02:15 +0000 2018,0.0,1.0,0.0,@BBCNews,28
28,-0.2263,Mon Jun 04 18:52:55 +0000 2018,0.147,0.853,0.0,@BBCNews,29
29,-0.3818,Mon Jun 04 18:48:15 +0000 2018,0.224,0.776,0.0,@BBCNews,30
30,0.0,Mon Jun 04 18:45:52 +0000 2018,0.0,1.0,0.0,@BBCNews,31
31,0.0,Mon Jun 04 18:29:37 +0000 2018,0.0,1.0,0.0,@BBCNews,32
32,0.0,Mon Jun 04 18:26:27 +0000 2018,0.0,1.0,0.0,@BBCNews,33
33,0.4404,Mon Jun 04 18:04:03 +0000 2018,0.0,0.756,0.244,@BBCNews,34
34,0.7506,Mon Jun 04 18:00:23 +0000 2018,0.0,0.738,0.262,@BBCNews,35
35,0.0,Mon Jun 04 17:59:13 +0000 2018,0.0,1.0,0.0,@BBCNews,36
36,-0.4767,Mon Jun 04 17:54:41 +0000 2018,0.134,0.866,0.0,@BBCNews,37
37,-0.296,Mon Jun 04 17:10:09 +0000 2018,0.239,0.761,0.0,@BBCNews,38
38,0.0,Mon Jun 04 17:06:58 +0000 2018,0.0,1.0,0.0,@BBCNews,39
39,-0.7579,Mon Jun 04 16:53:34 +0000 2018,0.448,0.552,0.0,@BBCNews,40
40,-0.3089,Mon Jun 04 16:53:34 +0000 2018,0.201,0.799,0.0,@BBCNews,41
41,0.1027,Mon Jun 04 16:51:14 +0000 2018,0.183,0.61,0.207,@BBCNews,42
42,0.0,Mon Jun 04 16:51:14 +0000 2018,0.0,1.0,0.0,@BBCNews,43
43,0.0,Mon Jun 04 16:41:34 +0000 2018,0.0,1.0,0.0,@BBCNews,44
44,0.0,Mon Jun 04 16:41:31 +0000 2018,0.0,1.0,0.0,@BBCNews,45
45,-0.3612,Mon Jun 04 16:27:54 +0000 2018,0.143,0.857,0.0,@BBCNews,46
46,-0.6808,Mon Jun 04 16:20:22 +0000 2018,0.444,0.556,0.0,@BBCNews,47
47,-0.7269,Mon Jun 04 16:20:05 +0000 2018,0.225,0.775,0.0,@BBCNews,48
48,0.0,Mon Jun 04 16:16:49 +0000 2018,0.0,1.0,0.0,@BBCNews,49
49,-0.7897,Mon Jun 04 16:16:45 +0000 2018,0.4,0.6,0.0,@BBCNews,50
50,-0.4019,Mon Jun 04 16:13:55 +0000 2018,0.144,0.856,0.0,@BBCNews,51
51,0.2023,Mon Jun 04 16:13:49 +0000 2018,0.0,0.904,0.096,@BBCNews,52
52,0.4019,Mon Jun 04 16:13:43 +0000 2018,0.0,0.816,0.184,@BBCNews,53
53,-0.1531,Mon Jun 04 16:13:34 +0000 2018,0.13,0.769,0.101,@BBCNews,54
54,-0.1779,Mon Jun 04 16:13:27 +0000 2018,0.326,0.387,0.287,@BBCNews,55
55,-0.1695,Mon Jun 04 16:13:21 +0000 2018,0.094,0.906,0.0,@BBCNews,56
56,0.0,Mon Jun 04 15:55:21 +0000 2018,0.0,1.0,0.0,@BBCNews,57
57,0.0,Mon Jun 04 15:55:21 +0000 2018,0.0,1.0,0.0,@BBCNews,58
58,0.0,Mon Jun 04 15:51:25 +0000 2018,0.0,1.0,0.0,@BBCNews,59
59,0.0,Mon Jun 04 15:50:29 +0000 2018,0.0,1.0,0.0,@BBCNews,60
60,0.0772,Mon Jun 04 15:34:03 +0000 2018,0.0,0.894,0.106,@BBCNews,61
61,0.0,Mon Jun 04 15:26:39 +0000 2018,0.0,1.0,0.0,@BBCNews,62
62,0.1477,Mon Jun 04 15:15:11 +0000 2018,0.0,0.927,0.073,@BBCNews,63
63,-0.2263,Mon Jun 04 15:12:28 +0000 2018,0.241,0.759,0.0,@BBCNews,64
64,-0.6597,Mon Jun 04 15:10:19 +0000 2018,0.423,0.577,0.0,@BBCNews,65
65,0.0,Mon Jun 04 15:07:46 +0000 2018,0.0,1.0,0.0,@BBCNews,66
66,0.0,Mon Jun 04 14:31:53 +0000 2018,0.0,1.0,0.0,@BBCNews,67
67,0.4767,Mon Jun 04 14:24:48 +0000 2018,0.0,0.744,0.256,@BBCNews,68
68,0.0,Mon Jun 04 14:03:46 +0000 2018,0.0,1.0,0.0,@BBCNews,69
69,0.0,Mon Jun 04 14:01:32 +0000 2018,0.0,1.0,0.0,@BBCNews,70
70,0.6369,Mon Jun 04 13:59:24 +0000 2018,0.0,0.724,0.276,@BBCNews,71
71,-0.5859,Mon Jun 04 13:46:38 +0000 2018,0.231,0.769,0.0,@BBCNews,72
72,0.0,Mon Jun 04 13:40:45 +0000 2018,0.0,1.0,0.0,@BBCNews,73
73,-0.4588,Mon Jun 04 13:31:21 +0000 2018,0.273,0.727,0.0,@BBCNews,74
74,0.34,Mon Jun 04 13:29:06 +0000 2018,0.0,0.854,0.146,@BBCNews,75
75,-0.8519,Mon Jun 04 13:27:10 +0000 2018,0.437,0.563,0.0,@BBCNews,76
76,-0.7906,Mon Jun 04 12:51:35 +0000 2018,0.471,0.402,0.126,@BBCNews,77
77,0.0,Mon Jun 04 12:46:55 +0000 2018,0.0,1.0,0.0,@BBCNews,78
78,0.6597,Mon Jun 04 12:43:08 +0000 2018,0.0,0.769,0.231,@BBCNews,79
79,0.0,Mon Jun 04 12:30:57 +0000 2018,0.0,1.0,0.0,@BBCNews,80
80,0.0,Mon Jun 04 12:21:28 +0000 2018,0.0,1.0,0.0,@BBCNews,81
81,0.1027,Mon Jun 04 12:18:33 +0000 2018,0.0,0.935,0.065,@BBCNews,82
82,0.2023,Mon Jun 04 12:10:01 +0000 2018,0.213,0.515,0.272,@BBCNews,83
83,-0.34,Mon Jun 04 11:40:11 +0000 2018,0.194,0.806,0.0,@BBCNews,84
84,-0.4939,Mon Jun 04 11:37:49 +0000 2018,0.189,0.811,0.0,@BBCNews,85
85,-0.4215,Mon Jun 04 11:12:41 +0000 2018,0.203,0.797,0.0,@BBCNews,86
86,0.6322,Mon Jun 04 11:11:16 +0000 2018,0.0,0.803,0.197,@BBCNews,87
87,-0.4005,Mon Jun 04 11:05:51 +0000 2018,0.157,0.749,0.094,@BBCNews,88
88,0.3252,Mon Jun 04 10:54:14 +0000 2018,0.0,0.848,0.152,@BBCNews,89
89,0.3612,Mon Jun 04 10:49:18 +0000 2018,0.0,0.828,0.172,@BBCNews,90
90,0.0,Mon Jun 04 10:38:59 +0000 2018,0.0,1.0,0.0,@BBCNews,91
91,-0.7351,Mon Jun 04 10:36:55 +0000 2018,0.279,0.721,0.0,@BBCNews,92
92,0.0,Mon Jun 04 10:36:33 +0000 2018,0.0,1.0,0.0,@BBCNews,93
93,-0.6361,Mon Jun 04 10:35:50 +0000 2018,0.208,0.792,0.0,@BBCNews,94
94,0.8126,Mon Jun 04 10:35:40 +0000 2018,0.0,0.709,0.291,@BBCNews,95
95,0.0,Mon Jun 04 10:35:18 +0000 2018,0.0,1.0,0.0,@BBCNews,96
